Date,Description,Account Name,Category,Amount
12/01/2017,Cerner Corporati Ppddir,CapFed Checking,Paycheck,1559.59
11/27/2017,Discover E,CapFed Checking,Credit Card Payment,247.14
11/27/2017,Discover E,CapFed Checking,Credit Card Payment,1081.79
11/24/2017,Directpay Full Balance,Discover It,Credit Card Payment,247.14
11/23/2017,Internet Thank You,Discover It,Credit Card Payment,1081.79
11/23/2017,Cashback Bonus Redemption,Discover It,Bonus,24.48
11/19/2017,Transfer from Checking,CapFed Savings,Transfer,1500
11/19/2017,Transfer to Savings,CapFed Checking,Transfer,1500
11/17/2017,Cerner Corporati Ppddir,CapFed Checking,Paycheck,1559.59
11/03/2017,Cerner Corporati Ppddir,CapFed Checking,Paycheck,1499.61
10/31/2017,Discover E,CapFed Checking,Credit Card Payment,255.12
10/31/2017,ATM Fee,CapFed Checking,ATM Fee,0.7
10/29/2017,Internet Thank You,Discover It,Credit Card Payment,255.12
10/27/2017,Discover E,CapFed Checking,Credit Card Payment,650
10/26/2017,Internet Thank You,Discover It,Credit Card Payment,650
10/25/2017,Discover E,CapFed Checking,Credit Card Payment,37.26
10/24/2017,Directpay Full Balance,Discover It,Credit Card Payment,37.26
10/20/2017,Cerner Corporati Ppddir,CapFed Checking,Paycheck,1559.59
10/15/2017,Transfer to Checking,CapFed Savings,Transfer,700
10/15/2017,Transfer from Savings,CapFed Checking,Transfer,700
10/11/2017,Cernerp Spt Ach,CapFed Checking,Income2,1
10/08/2017,Cashback Bonus Redemption,Discover It,Bonus,65.99
10/06/2017,Cerner Corporati Ppddir,Intrust Checking,Paycheck,1558.6
10/03/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,38.33
10/01/2017,Transfer from Checking Account,Discover It,Credit Card Payment,38.33
9/30/2017,Interest Paid,CapFed Savings,Interest Income,0.08
9/29/2017,Cernerp Spt Ach,Intrust Checking,Credit Card Payment,1
9/29/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,67.92
9/28/2017,Internet Thank You,Discover It,Credit Card Payment,67.92
9/25/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,367.75
9/22/2017,Internet Thank You,Discover It,Credit Card Payment,367.75
9/22/2017,Line Transfer Acc,Intrust Checking,Transfer,136.05
9/22/2017,Cerner Corporati Dir,Intrust Checking,Paycheck,1691.29
9/20/2017,Transfer to Checking Account,Intrust Savings,Transfer,226.85
9/20/2017,Transfer from Savings Account,Intrust Checking,Transfer,226.85
9/18/2017,Deposit,CapFed Checking,Income2,1000
9/12/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,379.33
9/11/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,193.37
9/11/2017,Transfer from Checking Account,Discover It,Credit Card Payment,379.33
9/10/2017,Transfer from Checking,CapFed Savings,Transfer,1856.49
9/10/2017,Transfer to Savings,CapFed Checking,Transfer,1856.49
9/08/2017,Cashback Bonus Redemption,Discover It,Bonus,22.79
9/08/2017,Cerner Corporati Dir,CapFed Checking,Paycheck,1692.28
9/08/2017,Internet Thank You,Discover It,Credit Card Payment,193.37
9/06/2017,Transfer to Checking Account,Intrust Savings,Transfer,1000
9/06/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,98.66
9/06/2017,Transfer from Savings Account,Intrust Checking,Transfer,1000
9/05/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,104.74
9/05/2017,Transfer from Checking Account,Discover It,Credit Card Payment,98.66
8/31/2017,Internet Thank You,Discover It,Credit Card Payment,104.74
8/31/2017,Transfer to Checking Account,Intrust Savings,Transfer,500
8/31/2017,Transfer from Savings Account,Intrust Checking,Transfer,500
8/28/2017,Transfer to Checking Account,Intrust Savings,Transfer,1500
8/28/2017,Transfer to Discover,Intrust Checking,Credit Card Payment,391.11
8/28/2017,Transfer from Savings Account,Intrust Checking,Transfer,1500
8/28/2017,Check 1009,Intrust Checking,Check,1000
8/27/2017,Transfer from Checking Account,Discover It,Credit Card Payment,391.11
8/26/2017,Deposit,CapFed Savings,Income2,900
8/26/2017,Deposit,CapFed Checking,Income2,181.16
8/25/2017,Cerner Corporati Dir,Intrust Savings,Paycheck,1692.29
8/21/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,290.39
8/18/2017,Internet Thank You,Discover It,Credit Card Payment,290.39
8/17/2017,Venmo Cashout,Intrust Savings,Income2,40.34
8/17/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,109.75
8/16/2017,Venmo Cashout,Intrust Savings,Income2,64
8/15/2017,Transfer from Checking Account,Discover It,Credit Card Payment,109.75
8/15/2017,Transfer to Checking Account,Intrust Savings,Transfer,1000
8/15/2017,Transfer from Savings Account,Intrust Checking,Transfer,1000
8/15/2017,Deposit,Intrust Checking,Income2,69.99
8/14/2017,Transfer to Checking Account,Intrust Savings,Transfer,1000
8/14/2017,Transfer from Savings Account,Intrust Checking,Transfer,1000
8/14/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,322.56
8/11/2017,Transfer from Checking Account,Discover It,Credit Card Payment,322.56
8/11/2017,Cerner Corporati Dir,Intrust Savings,Paycheck,1856.78
8/11/2017,Cerner Corporati Dir,Intrust Savings,Paycheck,2414
8/11/2017,Transfer to Checking Account,Intrust Savings,Transfer,1000
8/11/2017,Transfer from Savings Account,Intrust Checking,Transfer,1000
8/11/2017,Withdrawal Discover E,Intrust Checking,Credit Card Payment,150
8/10/2017,Venmo,Intrust Savings,Transfer,6.83
8/10/2017,Line Transfer Acc,Intrust Savings,Transfer,15
8/10/2017,Transfer for Payment,Intrust Checking,Transfer,15
8/09/2017,Transfer from Checking Account,Discover It,Credit Card Payment,150
8/09/2017,Cashback Bonus Redemption,Discover It,Bonus,8.14
8/09/2017,Transfer to Checking Account,Intrust Savings,Transfer,30
8/09/2017,Transfer from Savings Account,Intrust Checking,Transfer,30
8/08/2017,Transfer to Checking Account,Discover It,Transfer,15
8/03/2017,Venmo Cashout,Intrust Savings,Income2,25.53
8/02/2017,Transfer from Checking Account,Intrust Savings,Transfer,500
8/02/2017,Transfer to Savings Account,Intrust Checking,Transfer,500
7/20/2017,Transfer to Checking Account,Intrust Savings,Transfer,500
7/20/2017,Transfer from Savings Account,Intrust Checking,Transfer,500
7/17/2017,Transfer to Checking Account,Intrust Savings,Transfer,300
7/17/2017,Transfer from Savings Account,Intrust Checking,Transfer,300
7/17/2017,Line Transfer Acc,Intrust Checking,Transfer,42.87
7/14/2017,West Houston Are,Intrust Savings,Income2,25
7/11/2017,Transfer to Checking Account,Intrust Savings,Transfer,200
7/11/2017,Transfer from Savings Account,Intrust Checking,Transfer,200
7/10/2017,Transfer to Checking Account,Intrust Savings,Transfer,175
7/10/2017,Transfer from Savings Account,Intrust Checking,Transfer,175
7/05/2017,Venmo Cashout,Intrust Savings,Income2,107.37
7/03/2017,Line Transfer Acc,Intrust Savings,Transfer,1000
6/30/2017,West Houston Are,Intrust Savings,Income2,32.5
6/27/2017,Deposit,Intrust Savings,Income2,300
6/26/2017,Transfer from Checking Account,Intrust Savings,Transfer,600
6/26/2017,Graebel Companie Ach,Intrust Checking,Income2,1000
6/26/2017,Transfer to Savings Account,Intrust Checking,Transfer,600
6/19/2017,Transfer to Checking Account,Intrust Savings,Transfer,250
6/19/2017,Transfer from Savings Account,Intrust Checking,Transfer,250
6/16/2017,West Houston Are,Intrust Savings,Income2,95.7
6/16/2017,Line Transfer Acc,Intrust Checking,Transfer,113.24
6/15/2017,Transfer to Checking Account,Intrust Savings,Transfer,300
6/15/2017,Transfer from Savings Account,Intrust Checking,Transfer,300
6/15/2017,Line Transfer Acc,Intrust Checking,Transfer,42.87
6/09/2017,Transfer to Checking Account,Intrust Savings,Transfer,150
6/09/2017,Transfer from Savings Account,Intrust Checking,Transfer,150
6/05/2017,Transfer to Checking Account,Intrust Savings,Transfer,200
6/05/2017,Transfer from Savings Account,Intrust Checking,Transfer,200
6/02/2017,West Houston Are,Intrust Savings,Income2,692.5
5/24/2017,Transfer to Checking Account,Intrust Savings,Transfer,200
5/24/2017,Transfer from Savings Account,Intrust Checking,Transfer,200
5/16/2017,Deposit,Intrust Savings,Income2,1157.08
5/11/2017,Line Transfer Fr,Intrust Checking,Transfer,62.91
5/05/2017,Transfer to Checking Account,Intrust Savings,Transfer,200
5/05/2017,Transfer from Savings Account,Intrust Checking,Transfer,200
5/03/2017,Check 1008,Intrust Checking,Check,300
