Date,Description,Category,Amount
11/30/2017,Sonic,Restaurant,5
11/30/2017,Time Warner,Bill,44
11/29/2017,Minit Mart,Groceries,1
11/29/2017,Panera Bread,Restaurant,9
11/29/2017,Fuzzy S Taco Shop,Restaurant,9
11/29/2017,Target,Shopping,45
11/27/2017,CompanyKids,Restaurant,10
11/27/2017,CompanyKids,Restaurant,2
11/24/2017,Wichita Brewing Company LLC,Restaurant,40
11/23/2017,Cashback Bonus Redemption,Bonus,24
11/22/2017,QuikTrip,Gas,23
11/22/2017,Lipari Sun Fresh,Groceries,11
11/21/2017,CompanyKids,Restaurant,4
11/21/2017,Cardtronics Ccs Nbr 7500 Wornall Road,Pharmacy,100
11/20/2017,CompanyKids,Restaurant,0
11/18/2017,Culvers of Kansas City,Restaurant,7
11/18/2017,Great Clips,Bill,16
11/17/2017,St Benedict's Abbey,Tithing,15
11/17/2017,CompanyKids,Restaurant,3
11/17/2017,Focus,Tithing,50
11/17/2017,Focus,Tithing,100
11/17/2017,CompanyKids,Restaurant,8
11/16/2017,Withdrawal St Paul,Tithing,25
11/15/2017,Allstate,Bill,139
11/15/2017,Allstate,Bill,15
11/15/2017,Target,Shopping,57
11/15/2017,Toyota,Bill,601
11/14/2017,CompanyKids,Restaurant,1
11/14/2017,CompanyKids,Restaurant,3
11/14/2017,CompanyKids,Restaurant,4
11/13/2017,Fuzzy S Taco Shop,Restaurant,8
11/13/2017,CompanyKids,Restaurant,8
11/12/2017,Subway,Restaurant,7
11/12/2017,QuikTrip,Gas,28
11/12/2017,Fuzzy S Taco Shop,Restaurant,32
11/11/2017,Focus,Tithing,50
11/11/2017,City Museum,Arts,10
11/10/2017,Urban Chestnut Brewing,Restaurant,13
11/10/2017,Urban Chestnut Brewing,Restaurant,6
11/10/2017,Fastlane Foristell Mo,Gas,27
11/10/2017,CompanyKids,Restaurant,9
11/09/2017,CompanyKids,Restaurant,8
11/08/2017,QuikTrip,Gas,27
11/06/2017,Electronified Coach House,Bill,481
11/06/2017,Grunauer,Restaurant,34
11/06/2017,CompanyKids,Restaurant,8
11/06/2017,CompanyKids,Restaurant,4
11/05/2017,Amazon,Shopping,34
11/04/2017,Toyota,Service & Parts,33
11/04/2017,Target,Shopping,20
11/04/2017,First Watch,Restaurant,13
11/03/2017,El Fogon,Restaurant,11
11/02/2017,McCoy's Public House LLC,Restaurant,16
11/02/2017,Act Catholic Challenge,Entertainment,25
11/01/2017,CompanyKids,Restaurant,8
11/01/2017,Kschmitzguy Ca,Gift,40
11/01/2017,Venmo,Transfer,5
