"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/30/2017","Sonic","SONIC DRIVE IN #4891","5.32","debit","Fast Food","Discover it Card","",""
"11/30/2017","Transfer to Checking Account","THE UPS STORE #4890","45.46","debit","Transfer","Discover it Card","",""
"11/30/2017","Time Warner","TWC*TIME WARNER CABLE","44.99","debit","Television","Discover it Card","",""
"11/29/2017","Minit Mart","MINIT MART TA 753","1.00","debit","Groceries","Discover it Card","",""
"11/29/2017","Panera Bread","PANERA BREAD #202365","9.81","debit","Fast Food","Discover it Card","",""
"11/30/2017","Transfer from Discover it Card","ON-LINE TRANSFERFR ACC 00003379167 DATE: 11-30-17 TIME: 09:06:30","45.46","credit","Transfer","Checking Account","",""
"11/29/2017","Fuzzy S Taco Shop","FUZZY'S TACO SHOP KANSAS CITY MO","9.00","debit","Fast Food","Discover it Card","",""
"11/29/2017","Target","TARGET KANSAS CITY MO","45.37","debit","Shopping","Discover it Card","",""
"11/27/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","10.30","debit","Fast Food","Discover it Card","",""
"11/27/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","2.70","debit","Fast Food","Discover it Card","",""
"11/27/2017","Discover E","DISCOVER E-PAYMENT","247.14","debit","Credit Card Payment","Checking","",""
"11/27/2017","Discover E","DISCOVER E-PAYMENT","1081.79","debit","Credit Card Payment","Checking","",""
"11/24/2017","Wichita Brewing Company LLC","WICHITA BREWING CO PIZZ WICHITA KS","40.00","debit","Restaurants","Discover it Card","",""
"11/24/2017","Directpay Full Balance","DIRECTPAY FULL BALANCE","247.14","credit","Credit Card Payment","Discover it Card","",""
"11/23/2017","Internet Thank You","INTERNET PAYMENT - THANK YOU","1081.79","credit","Credit Card Payment","Discover it Card","",""
"11/23/2017","Cashback Bonus Redemption","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","24.48","credit","Bonus","Discover it Card","",""
"11/22/2017","QuikTrip","QT 234 KANSAS CITY MO","23.78","debit","Gas & Fuel","Discover it Card","",""
"11/22/2017","Lipari Sun Fresh","LIPARI'S SUN FRESH SSS KANSAS CITY MO","11.80","debit","Groceries","Discover it Card","",""
"11/21/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","4.33","debit","Fast Food","Discover it Card","",""
"11/21/2017","Cardtronics Ccs Nbr 7500 Wornall Road","Cardtronics CCS 7500 WORNALL RD KANSAS CITY MO CARD NBR: -8811","100.00","debit","Pharmacy","Checking","",""
"11/20/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","0.86","debit","Fast Food","Discover it Card","",""
"11/19/2017","Transfer from Checking","TBO TRF FROM ***7456 TO ***3339","1500.00","credit","Transfer","Savings","",""
"11/19/2017","Transfer to Savings","TBO TRF FROM ***7456 TO ***3339","1500.00","debit","Transfer","Checking","",""
"11/18/2017","Culvers of Kansas City","CULVERS OF KANSAS KANSAS CITY MO","7.79","debit","Fast Food","Discover it Card","",""
"11/18/2017","Great Clips","1008 GREAT CLIPS AT WATT KANSAS CITY MO","16.00","debit","Hair","Discover it Card","",""
"11/17/2017","Line Transfer Acc","ON-LINE TRANSFERTO ACC 00003379167 DATE: 11-17-17 TIME: 09:51:54","233.87","debit","Transfer","Checking Account","",""
"11/17/2017","St Benedict's Abbey","BB *ST BENEDICTS ABBEY 9133607897 KS","15.00","debit","Charity","Discover it Card","",""
"11/17/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","3.03","debit","Fast Food","Discover it Card","",""
"11/17/2017","Focus","FOCUS 303-551-7373 CO","50.00","debit","Charity","Discover it Card","",""
"11/17/2017","Focus","FOCUS 303-551-7373 CO","100.00","debit","Charity","Discover it Card","",""
"11/17/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","8.03","debit","Fast Food","Discover it Card","",""
"11/17/2017","Cerner Corporati Ppddir","CERNER CORPORATI PPDDIR DEP","1559.59","credit","Paycheck","Checking","",""
"11/16/2017","Withdrawal St Paul","ST. PAUL'S OUT 6PREAUTHORIZED WD ST. PAUL'S OUT 6 DIRECT-PAY 171116 FFC 85432300","25.00","debit","Charity","Checking Account","",""
"11/15/2017","Allstate","ALLSTATE *PAYMENT 800-255-7828 IL9193046520171115","139.25","debit","Auto Insurance","Discover it Card","",""
"11/15/2017","Allstate","ALLSTATE *PAYMNT 800-255-7828 IL9192934020171115","15.42","debit","Auto Insurance","Discover it Card","",""
"11/15/2017","Target","TARGET KANSAS CITY MO","57.72","debit","Shopping","Discover it Card","",""
"11/15/2017","Toyota","TOYOTA FINANCIAL RETAIL_PAY","601.88","debit","Auto Payment","Checking","",""
"11/14/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","1.51","debit","Fast Food","Discover it Card","",""
"11/14/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","3.03","debit","Fast Food","Discover it Card","",""
"11/14/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","4.42","debit","Fast Food","Discover it Card","",""
"11/13/2017","Fuzzy S Taco Shop","FUZZY'S TACO SHOP KANSAS CITY MO","8.68","debit","Fast Food","Discover it Card","",""
"11/13/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","8.03","debit","Fast Food","Discover it Card","",""
"11/12/2017","Subway","SUBWAY 00044818255 MAPLEWOOD MO","7.58","debit","Fast Food","Discover it Card","",""
"11/12/2017","QuikTrip","QT 168 KANSAS CITY MO","28.40","debit","Gas & Fuel","Discover it Card","",""
"11/12/2017","Fuzzy S Taco Shop","FUZZY'S TACO SHOP WEBSTER GROVEMO","32.00","debit","Fast Food","Discover it Card","",""
"11/11/2017","Focus","FOCUS 303-551-7373 CO","50.00","debit","Charity","Discover it Card","",""
"11/11/2017","City Museum","CITY MUSEUM SAINT LOUIS MO","10.92","debit","Arts","Discover it Card","",""
"11/10/2017","Urban Chestnut Brewing","URBAN CHESTNUT BREWING C ST LOUIS MO","13.00","debit","Alcohol & Bars","Discover it Card","",""
"11/10/2017","Urban Chestnut Brewing","URBAN CHESTNUT BREWING C ST LOUIS MO","6.50","debit","Alcohol & Bars","Discover it Card","",""
"11/10/2017","Fastlane Foristell Mo","41 FASTLANE FORISTELL MO","27.11","debit","Gas & Fuel","Discover it Card","",""
"11/10/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","9.21","debit","Fast Food","Discover it Card","",""
"11/09/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","8.03","debit","Fast Food","Discover it Card","",""
"11/08/2017","QuikTrip","QT 168 KANSAS CITY MO","27.13","debit","Gas & Fuel","Discover it Card","",""
"11/06/2017","Electronified Coach House","Coach HouseELECTRONIFIED CHECK Coach House CHECK PMTS 171106 1013","481.21","debit","Mortgage & Rent","Checking Account","",""
"11/06/2017","Grunauer","GRUNAUER KANSAS CITY MO","34.82","debit","Food & Dining","Discover it Card","",""
"11/06/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","8.03","debit","Fast Food","Discover it Card","",""
"11/06/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","4.44","debit","Fast Food","Discover it Card","",""
